1,1,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,
2,3,,,,Taks,Momento 1,Momento 2,Momento 3,Momento 4,Momento 5,Momento 6,Momento 7,Momento 8,Momento 9,Momento 10
3,1,,,,1,X,,,X,,,X,,,X
1,2,,,,2,,X,,,,,,X,,
3,2,,,,3,,,X,,X,,,,,
3,3,,,,4,,,,,,X,,,X,
4,1,,,,5,,,,,,,,,,
4,2,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,,,
4,3,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,
5,2,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,
3,5,,,,,,,,,,,,,,
3,6,,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,,
4,7,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,,,
2,12,,,,,,,,,,,,,,
4,8,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,
4,10,,,,,,,,,,,,,,
3,7,,,,,,,,,,,,,,
3,8,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,
3,9,,,,,,,,,,,,,,
2,13,,,,,,,,,,,,,,
2,14,,,,,,,,,,,,,,
2,15,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,
5,3,,,,,,,,,,,,,,
5,4,,,,,,,,,,,,,,
3,10,,,,,,,,,,,,,,
3,11,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,
2,16,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,
2,18,,,,,,,,,,,,,,
3,12,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,
4,11,,,,,,,,,,,,,,
4,12,,,,,,,,,,,,,,
4,13,,,,,,,,,,,,,,
4,14,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,
2,19,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,
2,21,,,,,,,,,,,,,,
3,13,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,
3,14,,,,,,,,,,,,,,
3,15,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,
5,6,,,,,,,,,,,,,,
1,15,,,,,,,,,,,,,,
2,22,,,,,,,,,,,,,,
2,23,,,,,,,,,,,,,,
2,24,,,,,,,,,,,,,,
4,15,,,,,,,,,,,,,,
1,16,,,,,,,,,,,,,,
4,16,,,,,,,,,,,,,,
4,17,,,,,,,,,,,,,,
4,18,,,,,,,,,,,,,,
3,16,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,
2,25,,,,,,,,,,,,,,
2,26,,,,,,,,,,,,,,
2,27,,,,,,,,,,,,,,
3,17,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,
3,18,,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,
4,20,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,,,
2,29,,,,,,,,,,,,,,
2,30,,,,,,,,,,,,,,
4,22,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,
4,23,,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,,
5,8,,,,,,,,,,,,,,
3,19,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,
3,20,,,,,,,,,,,,,,
3,21,,,,,,,,,,,,,,
2,31,,,,,,,,,,,,,,
2,32,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,
2,33,,,,,,,,,,,,,,
3,22,,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,,
3,24,,,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,
2,34,,,,,,,,,,,,,,
2,35,,,,,,,,,,,,,,
2,36,,,,,,,,,,,,,,
